Unnamed: 0,QID,Brand,Model,Question,Dialogue,Report
0,Q1,奔驰,奔驰GL级,方向机重，助力泵，方向机都换了还是一样,技师说：[语音]|车主说：新的都换了|车主说：助力泵，方向机|技师说：[语音]|车主说：换了方向机带的有|车主说：[图片]|技师说：[语音]|车主说：有助力就是重，这车要匹配吧|技师说：不需要|技师说：你这是更换的部件有问题|车主说：跑快了还好点，就倒车重的很。|技师说：是非常重吗|车主说：是的，累人|技师说：[语音]|车主说：我觉得也是，可是车主是以前没这么重，选吧助理泵换了不行，又把放向机换了，现在还这样就不知道咋和车主解释。|技师说：[语音]|技师说：[语音],随时联系
1,Q2,奔驰,奔驰M级,奔驰ML500排气凸轮轴调节错误,技师说：你这个有没有电脑检测故障代码。|车主说：有|技师说：发一下|车主说：发动机之前亮故障灯、显示是失火、有点缺缸、现在又没有故障、发动机多少有点抖动、检查先前的故障是报这个故障|车主说：稍等|车主说：显示图片太大传不了|技师说：[语音]|车主说：这个对发动机的抖动、失火、缺缸有直接联系吗？|技师说：[语音]|车主说：还有就是报（左右排气凸轮轴作动电磁铁）对正极短路、对地短路、对导线断路|技师说：[语音]|车主说：这几个电磁阀和问您的第一个故障有直接关系吧|技师说：[语音]|车主说：这个有办法检测它好坏吗？|技师说：[语音]|车主说：谢谢|技师说：不客气,随时联系
2,Q3,宝马,宝马X1(进口),2010款宝马X1，2011年出厂，2.0排量，通用6L45变速箱，原地换挡位PRND车辆闯动，行驶升降档正常，4轮离地换挡无冲击感，更换变速箱油12L无改变。试过一辆2014年进口X1原地换挡位也有冲击感，这是什么情况，哪里的问题,技师说：你好，4缸自然吸气发动机N46是吧，先挂空档再挂其他档有没有闯动呢，变速箱油液位是否调整到正常液位呢|车主说：从N到D进本没有 N-R有，P-R有，最主要是行驶中到红绿灯路口等红灯停车D-N有冲击感，绿灯后N-D冲击感很小|技师说：第一，要把变速箱油位调整到标准液位，第二，清除变速箱适应值，第三升级变速箱程序，还有遇到过液力变矩器问题的|车主说：升级变速箱程序是刷模块吗|车主说：还有个问题就是停车后档位在P挡松开刹车踏板时，感觉车辆会动一下|车主说：怎样清除变速箱适应值|技师说：先从简单的排查吧，有可能程序问题，也有可能液力变矩器轴头磨损，泄压了，需要专用电脑清除变速箱适应值升级变速箱程序|技师说：换变速箱油有焦糊味没，变速箱油底壳带滤芯的，换了没，|车主说：没有味，滤芯换了|车主说：变矩器磨损的话，车况上架4轮离地换挡位就没有冲击感呢|技师说：对，所以先从简单的排查，换了油也需要也需要重新学习|车主说：没换油之前就这样，是因为有冲击才换的油|技师说：换油之前也是换挡冲击还是行驶也有冲击|车主说：只是原地换挡位冲击，换油前后行驶都没问题|技师说：多少公里了，估计还是程序问题，阀体里的问题，阀体和电脑一体的|车主说：9.3万公里|车主说：我昨天去试了一个4万多公里X1 也是这样是不是通病|技师说：如果是有一点那是正常的，刹车踩重点也是吗|车主说：用力踩刹车的话冲击感基本没有|车主说：就是用力踩住刹车，原地换挡位基本感觉不到冲击感|技师说：如果是这样，行驶没有冲击，应该没有问题|车主说：哦哦 谢谢|技师说：不客气,行驶没有顿挫的感觉，原地换挡有闯动，刹车踩重没有，这是力的限制的作用，应该没有问题
3,Q4,Jeep,牧马人,3.0V6发动机号在什么位置，有照片最好！,技师说：右侧排气管上方，缸体上靠近变速箱|车主说：[图片]|车主说：是不是这个？|车主说：这个号不对|车主说：[图片]|技师说：你先拓下来跟行车证对下|车主说：对了，不是|车主说：你有没有图片？|技师说：那年的车|车主说：14年3.0牧马人|技师说：做前轮这边缸体上|车主说：有没有图片画个圈圈|车主说：要不要拆什么|车主说：？？|技师说：不要拆|车主说：都看了，看不到啊|技师说：[图片]|车主说：[图片]|车主说：这个发动机怎么和我的不一样|技师说：你是客户还是维修技师|技师说：柴油还是汽油版|车主说：汽油|车主说：我自己的车，过户要用|技师说：你要找维修人员，或者专门拓号的人|技师说：需要把车升起来|车主说：找了，专业拓号的，按你说的找不到|车主说：他也不知道在哪里,举起车辆，在左前轮这边的缸体上
4,Q5,奔驰,奔驰C级,2012款奔驰c180怎么样，维修保养，动力，值得拥有吗,技师说：家庭用车的话，还是可以入手的|技师说：维修保养费用不高|车主说：12年的180市场价多少钱现在|车主说：[图片]|车主说：我想给我媳妇买|车主说：这个属于老款吧|技师说：具体要看车况|车主说：[图片]|车主说：车况好|技师说：那年的|技师说：上户日期|车主说：2012年的个人一手，|车主说：大概多少钱|车主说：[图片]|车主说：1.6t|技师说：需要查一下|技师说：15-16万之间|车主说：属于180k1.6t的|车主说：应该是老款|车主说：一般小保养一次多少钱|技师说：老款|技师说：800.|技师说：全合成机油|车主说：变速箱有一般多少钱换一次|车主说：油|技师说：六万公里|技师说：价格在1500|车主说：你说的价格是在外面的修理厂还是四s店的价位|技师说：修理厂|车主说：嗯嗯我知道了，谢谢你??,家庭用车可以入手的，维修保养价格还可以。车况好，价格合理可以入手
5,Q6,雪佛兰,科鲁兹,科鲁兹变速箱旁边漏机油,技师说：具体是哪个部位呢？是发动机和变速器正中间位置吗？|车主说：[图片]|技师说：这个有拍的图片吗？|车主说：就是中间|车主说：上面的图片就是|技师说：图片上已经看见了，检查机油有没有缺少的情况吧，看见好像是变速器的油。|车主说：如果是变速器漏油 应该是哪里出来问题|车主说：机油不少|技师说：那就是变速器的油，那就要拆开检查一下这个变速器的一轴，有可能是油封出现的路由或者是里面的这个，你这个是自动变速器，自动变速器，还要检查一下这个，中间的传动机构，液压变距器是不是有漏油的情况？|车主说：我这个是手动挡的|车主说：1.6|技师说：手动挡就是变速器的一轴油封出现了漏油。|车主说：需要抬变速箱吗？ 工程量大不大|技师说：这个肯定要拆变速箱才能换，液压离合器分泵，没有问题吧，都正常吧，刹车油不缺少吧|车主说：都正常|技师说：那就得拆变速器了，大概需要半天的时间。|车主说：确定不是机油吗？ 这个是在外面修 还是4S 比较好|车主说：算不算大问题|车主说：紧一下旁边的螺丝有没有用|技师说：机油不缺少，那就不是漏的机油，因为这个地方有两个油封一个事，发动机的曲轴后油封，这个也容易漏机油，第二个就是变速器的一轴油封这个也是容易漏油的，不管是，哪个有问题，只要是这两个问题都要拆变速箱。|车主说：暂时不修有没有什么大影响|技师说：这个去外面修理厂就可以维修，手动挡的话，比较好拆卸。暂时不维修的话也可以，他只是往出渗油检查一下变速器油有没有短缺的。|车主说：好的 如果拆下来方便同时把这两个隐患都修了吗|技师说：是的，拆下来看哪个损坏维修，哪个不坏的话就不需要动它。|车主说：好的谢谢你|技师说：不客气！祝您用车愉快！,像这种情况的话，如果机油不缺少，应该就是变速器的一轴油封有漏油的情况，需要拆下来检查一下，把这两个油封最好都检查一下，如果出现问题直接更换就可以。
6,Q7,丰田,凯美瑞(海外),我要怎么才能知道车子断开电瓶电源之后要不要做节气门或防盗，音响等的重置，还有节气门重置是不是所有车型都一样，打开电源不启动车子，油门踩到底五秒，重复几次就可以了。其他设备要密码才行是不是,技师说：你好！一般车子如果断开电瓶头着车启动后怠速偏低抖动就是节气门脏了需要重新清洗干净节气门后匹配节气门，防盗功能一般可以解锁着车启动就不会锁止防盗，音响能正常开机就不会锁，如果提示输入密码才能开机就是锁机了，匹配节气门不是所有车型都一样的，有些车型需要连接汽车电脑才能匹配节气门，你可以参考下，希望能帮到你|车主说：一般什么车型需要电脑匹配节气门，比如年份新的，或者某些品牌的，|车主说：音响要是锁了，密码是在哪里，车主手册上吗|技师说：你好！一般中高档车型断电后需要匹配节气门，如大众车系和本田车型清洗干净节气门后需要连接汽车电脑重新匹配节气门，音响锁了，密码一般是在音响外壳的条码上可以找到密码,你好！一般车子如果断电后，重新着车启动会车子怠速偏低不稳抖动就是需要重新清洗干净节气门后匹配节气门，防盗，如果车子能正常解锁就是正常的，音响那方面能正常开机启动就不需要解码，如不能正常开机就是需要输入密码开机，一般密码是车子多媒体机后面条码上可读取密码，不是所有的节气门匹配方法都一样的，有些车型是需要连接汽车专用电脑匹配节气门的，希望能帮到你！
7,Q8,昌河,昌河Q35,昌河Q35音响怎么拆装,技师说：发个中控图片看看|车主说：[图片]|技师说：[图片]|技师说：圈起来的面板吗|车主说：是的|技师说：翘出来|车主说：不行|技师说：如图所示没有螺丝了|技师说：新车就是紧|车主说：翘的要断了就是不出来|技师说：[图片]|技师说：绿色圈的先拿下来|车主说：上边有螺丝|技师说：你没有拆完吗|车主说：[图片]|技师说：就是内部卡扣固定,这个面板就是内部卡子固定，没有固定螺丝
8,Q9,长安,长安CS35,长安35朝阳轮胎不要里面的钢圈。用我自己的钢圈多少钱外面换多少钱,技师说：你的意思是就只更换一个新的轮胎就可以吧。|技师说：只更换单独的轮胎，这个价格是350块钱左右。|车主说：只换轮胎皮皮轮毂是我自己的也要350吗|技师说：是的，这个轮胎是个品牌轮胎，而且轮胎型号比较大，所以说价格都比较贵，这就是最便宜的。你可以自己在网上购买，这个有200多的，因为他这个地区不一样，价格略有浮动。|车主说：额额谢谢你的回答??晓得了。|技师说：不客气！祝您用车愉快！,这个单独购买轮胎，这个车胎的型号比较大在卖轮胎的地方，或者去修理厂他这个费用的话在350左右，自己网购的话，更换这个比较便宜一点。
9,Q10,吉利汽车,远景,吉利远景外球笼上那个大螺丝是顺时针拧下来还是反的,技师说：逆时针旋转松|技师说：这个螺丝就是比较紧|车主说：扳手都断了|车主说：那就是说和轮胎螺丝一样的拧法是吗|技师说：是的|技师说：我拆过的|车主说：嗯嗯,这个螺丝跟轮胎螺丝一样的，顺丝抠
